Carrier	VAT	Format	Checksum	Registered	Name	Address	Country
PORTMANN LOGISTICS POLSKA SP. Z.O.O	PL7811775773	Valid	Pass	Yes	PORTMANN LOGISTIC POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	JASNA 14/16A, 00-041 WARSZAWA	PL
Rail Cargo Logistics - Poland Sp. z o.o.	PL6292204786	Valid	Pass	Yes	RAIL CARGO LOGISTICS-POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	BITWY WARSZAWSKIEJ 1920 R. 7, 02-366 WARSZAWA	PL
VGL Road Sp. z o.o.	PL5862253658	Valid	Pass	No			
GEFCO Deutschland GmbH	DE811122082	Valid	Pass	Yes	N/A	N/A	DE
GEFCO Deutschland GmbH	DE811122082	Valid	Pass	Yes	N/A	N/A	DE
BRAXSTONE KRAWCZYK, RENE SP. JAWNA	PL1182095709	Valid	Pass	No			
F.H.P. MAG-MAR ALICJA MATUSIK	PL8240000989	Valid	Pass	No			
Antrans Bis Ireneusz Pacia Sp. k.	PL6372190299	Valid	Pass	Yes	"ANTRANS BIS" IRENEUSZ PACIA SPÓŁKA KOMANDYTOWA	WSPÓLNA 1C, 32-300 OLKUSZ	PL
DEVEGA SRL	RO26244980	Valid	Pass	Yes	DEVEGA SRL	MUN. ORADEA 410151 STR. BERZEI Nr. 4	RO
ND Polska Sp. z o.o.	PL7250013591	Valid	Pass	Yes	XPO TRANSPORT SOLUTIONS POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	CHEMICZNA 5, 65-713 ZIELONA GÓRA	PL
Frigo-trans	82521021298250004747	Invalid					
Ekol Logistics Sp. z o.o.	PL9721253894	Valid	Pass	Yes	DFDS LOGISTICS SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	SKŁADOWA 4, 62-023 KONINKO	PL
Speedbergx Sp. z o.o. Spółka komandytowa	PL7732475775	Valid	Pass	No			
ATL EUROPE s.r.o.	CZ25925865	Valid	Pass	Yes	ATL EUROPE s.r.o.	Pražská třída 320/8, KUKLENY, 500 04  HRADEC KRÁLOVÉ 4	CZ
BOMAR SP. Z O.O.	PL5342491222	Valid	Pass	Yes	BOMAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	SIEDLIN , WINCENTEGO WITOSA 19, 09-100 PŁOŃSK	PL
DHL Global Forwarding	RO31169876	Valid	Pass	No			
BARSAN Global Logistics	PL6792888463	Valid	Pass	Yes	BARSAN GLOBAL LOGISTICS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	WARSZAWSKA 40 M2A, 40-008 KATOWICE	PL
Grupa Transportowa Sp. z o.o.	PL7712852200	Valid	Pass	Yes	"GRUPA TRANSPORTOWA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	ŁÓDZKA 30AB, 97-300 PIOTRKÓW TRYBUNALSKI	PL
DHL GLOBAL FORWARDING TASIMACILIK A.S.	TR2950430412	Invalid					
Uniserve Ltd	GB927553502	Valid	Pass	Yes	GB GLOBAL MANAGEMENT LIMITED	UNISERVE GROUP, LONDON MEGA TERMINAL, THURROCK PARK WAY, TILBURY, RM18 7HD, GB	GB
BEI-TRANS POLSKA Sp. z.o.o	PL5252549320	Valid	Pass	Yes	BEI - TRANS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	ALEJA "SOLIDARNOŚCI" 117 M207, 00-140 WARSZAWA	PL
Range-Trans OU	EE202200221063094214	Invalid					
Cargo Line/ГК Карго Лайн	BY390170432	Invalid					
DHL FREIGHT SPAIN, S.L	ESB83716563	Valid	Pass				
JASTIM Sp z o.o.	PL5262499368	Valid	Pass	Yes	"JASTIM" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	ALEJE JEROZOLIMSKIE 144, 02-305 WARSZAWA	PL
AKTRANS TASIMACILIK TİC.SAN.LTD.STİ	TR420165084	Invalid					
BFI SP. Z O.O. SP.K.	PL5862323399	Valid	Pass	Yes	BFI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	AL. ZWYCIĘSTWA 173, 81-521 GDYNIA	PL
FERTRANS SPAGNA SL	ESB65925687	Valid	Pass				
ECS European Containers NV	BE0435131508	Valid	Pass	Yes	NV ECS EUROPEAN CONTAINERS	Baron de Maerelaan 155, 8380 Brugge	BE
MacAndrews & Co Ltd	GB802298146	Valid	Pass	Yes	MACANDREWS & CO LTD	6TH FLOOR, 75 KING WILLIAM STREET, LONDON, EC4N 7BE, GB	GB
BARSAN GLOBAL LOGISTIC KFT	HU25781841	Valid	Pass	Yes	BARSAN GLOBAL LOGISTIC KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG	HONVED UTCA 8 1 2 1054 BUDAPEST	HU
TBX SP. Z O.O.	PL1182096488	Valid	Pass	Yes	TBX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	SZYSZKOWA 35/37, 02-285 WARSZAWA	PL
NAPOLITRANS SRL	IT04775450655	Valid	Pass	Yes	NAPOLITRANS - SOCIETA' A RESPONSABILITA' LIMITATA	VIA PEZZAGRANDE SNC , 84025 EBOLI SA	IT
ZAMMLER Polska Sp. z o.o.	PL5252582464	Valid	Pass	Yes	ZAMMLER POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	3 MAJA 8, 05-800 PRUSZKÓW	PL
DHL FREIGHT	FR38488985771	Valid	Pass				
P.U.T.H. TRANS-POL SP.JAWNA S. KLASZTORNY, Z.DĄBROWSKI	PL8360007706	Valid	Pass	Yes	PRZEDSIĘBIORSTWO USŁUGOWE TRANSPORTOWO HANDLOWE TRANS-POL SPÓŁKA JAWNA S. KLASZTORNY, Z. DĄBROWSKI	JANA KOZIETULSKIEGO 4A, 96-100 SKIERNIEWICE	PL
FM LOGISTIC IBERICA, S.L.	ESB31506025	Valid	Pass				
Linktis sp. z o.o.	PL9512373803	Valid	Pass	Yes	LINKTIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	CZERNIAKOWSKA 87A, 00-718 WARSZAWA	PL
MAERSK LINE	DK53139655	Valid	Pass	Yes	Maersk VAT Group	Esplanaden 50, 1263 København K	DK
BATUINTERNATİONAL LOJİSTİK İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ	1500576603–AtışalanıVD	Invalid					
Overis Sp.z,o.o.	PL8252176323	Valid	Pass	Yes	OVERIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	ŁAPIGUZ 91, 21-400 ŁUKÓW	PL
ALCOR LOGISTICS Sp. z o.o.	PL5291820117	Valid	Pass	Yes	ALCOR LOGISTICS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	T. BAIRDA 36 M60, 05-825 GRODZISK MAZOWIECKI	PL
EVEROAD	FR55819871724	Valid	Pass				
EXPEDITORS INTERNATIONAL UK LTD	GB417141383	Valid	Pass	Yes	EXPEDITORS INTERNATIONAL	1 ASCOT ROAD, BEDFONT, MIDDLESEX, TW14 8QH, GB	GB
H.Essers & Zonen Internationaal Transport NV (Pharma)	BE0401296720	Valid	Pass	Yes	NV HENRI ESSERS EN ZONEN INTERNATIONAAL TRANSPORT	Transportlaan 4, 3600 Genk	BE
Hopi PL sp z o.o.	PL5272681413	Valid	Pass	Yes	HOPI PL POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	MARCINA KASPRZAKA 29A M917, 01-234 WARSZAWA	PL
ATOM ULUSLARARASI NAKLİYAT VE LOJİSTİK HİZMETLERİ TİC.A.S.	TR1030553378	Invalid					
F.H.U Łuczkowski	PL7352728017	Valid	Pass	Yes	MARCIN ŁUCZKOWSKI	KOŚCIELNA 5, 34-400 NOWY TARG	PL
Marvicon SRL	RO34957399	Valid	Pass	Yes	MARVICON SRL	MUN. ORADEA 410554 STR. OGORULUI Nr. 258 Et. 2	RO
Uber Freight B.V.	NL859288961B01	Valid	Fail	See suggestions			
TRANSPIL-SPEDITION LOGISTICS GROUP SP. Z O.O. SP. KOMANDYTOWA	PL7671705599	Valid	Pass	Yes	TRANSPIL-SPEDITION LOGISTICS GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA	BRZOZOWA 2, 64-917 SKÓRKA	PL
GT-Trans Faktoring Sp. z o.o.	PL5223051994	Valid	Pass	No			
Blackbuck Poland Sp. Z o.o.	PL7010943304	Valid	Pass	Yes	TRUKKER EUROPE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI	KALEŃSKA 5, 04-367 WARSZAWA	PL
Range Trans Group OÜ	EE102138294	Valid	Pass	No			
Luk-Trans Łukasz Bloch	PL7621873194	Valid	Pass	Yes	ŁUKASZ BLOCH	BLOCHY 26A, 07-210 DŁUGOSIODŁO	PL
KRAFTTRANS Taurus Sp. z o.o.	PL5213880950	Valid	Pass	Yes	KRAFTTRANS TAURUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	RADZYMIŃSKA 326 M218, 05-091 ZĄBKI	PL
DHL Parcel (Switzerland) AG	CHE109390707MWST	Invalid					
F&O Agnieszka Osica-Foltyn	PL8221247476	Valid	Pass	Yes	AGNIESZKA OSICA-FOLTYN	JANA HEWELIUSZA 15, 05-300 MIŃSK MAZOWIECKI	PL
DBK LOGISTICS SP. Z O.O. SP.K.	PL5252827718	Valid	Pass	Yes	DBK LOGISTICS CEE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	ZAJĘCZA 15, 00-351 WARSZAWA	PL
Broekman Logistics Sp. z o.o.	PL7811851793	Valid	Pass	Yes	BROEKMAN LOGISTICS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	TOWAROWA 35 M5, 61-896 POZNAŃ	PL
sennder Benelux B.V._TC	NL859288961B01	Valid	Fail	See suggestions			
LOPEZ & RYDER LOGISTIC S.L.U.	ESB01729920	Valid	Pass	Yes	N/A	N/A	ES
SA TORELLO TRASPORTI SRL	FR77822218129	Valid	Pass	Yes	SA TORELLO TRASPORTI SRL	5 RUE DE MALACOMBE, 38070 ST QUENTIN FALLAVIER	FR
FM Logistic - Crépy-en-Valois (FR60)	FR27367801404	Valid	Pass	Yes	SAS FM FRANCE	ZONE INDUSTRIELLE, RUE DE L EUROPE, 57370 PHALSBOURG	FR
GRAMIX Sp. z .o.o.	PL1182153482	Valid	Pass	Yes	GRAMIX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	KOMORÓW 20, 05-085 KOMORÓW	PL
TSL Wiolmar Marcin Osiński	PL5311529716	Valid	Pass	Yes	MARCIN OSIŃSKI	BRONINEK 4, 05-190 NASIELSK	PL
UAB Girteka Europe West	LT100015399114	Valid	Pass	Yes	Girteka Logistics UAB	Laisvės pr. 36, Vilniaus m., Vilniaus m. sav.	LT
Ellerman City Liners	GB398523059	Valid	Pass	Yes	ELLERMAN CITY LINERS LIMITED	8 LLOYD&#x27;S AVENUE, LONDON, EC3N 3EL, GB	GB
SAFE SHIPPING SP. Z O.O.	PL5862072135	Valid	Pass	Yes	'SAFE SHIPPING' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	JANUSZA KORCZAKA 13, 81-473 GDYNIA	PL
Damco Germany GmbH	DE811151940	Valid	Pass	Yes	N/A	N/A	DE
