TRANSPOREON ID	CreditorNumber	Carrier	OriginalVAT	VAT	VatStatus	Country	StoredAddress
231137	231137	Girteka Logistics Ltd	LT100005407518	LT100005407518	valid	LT	Kuprinoniskes vlg, 13279, Vilnius region
258468	258468	EST Contracts BV - Istanbul branch		NL866889899B01	discovered	NL	Teleportboulevard 120, 1043 EJ, Amsterdam
230869	230869	Frode laursen	DK0000000000	DK29482713	discovered	DK	vittenvej 90, 8382, hinnerup
229592	229592	Transforwarding International Sp. z o.o.		PL5342147482	discovered	PL	Na Skraju 73A, 05-090, Raszyn
230876	Containerships	CONTAINERSHIPS PLC	FI08183585	FI08183585	valid	FI	Mannerheimintie 15a, 260, Helsinki
230935	230935	DHL Express Portugal Lda.	PT0000000000	PT500731993	discovered	PT	Urbanização do Passil, Lote 93 A, Passil, 2890, Alcochete
231183	231183	EST Contracts BV - Lyon branch			missing	FR	Teleportboulevard 120, 1043EJ, Amsterdam
229564	229564	EST Contracts BV - Budapest branch	NL811514274	NL811514274	valid	HU	Teleportboulevard 120, 1043 EJ, Amsterdam
233875	CHR	EST Poland sp. z o.o. - branch 1	NL811514274B01	NL811514274B01	valid	PL	Łucka 9, 00-842, Warszawa
244609	230931	A. T. TROTA, S.A.	ESA25038142	ESA25038142	valid	ES	CIM LLEIDA VIAL E, PARCELA 17, 25190, LLEIDA
341645	235268	Luís Simões Logística Integrada, S.A.	PT-500289050	PT500289050	valid	PT	Moninhos, Apartado 41, 2671-951, Loures
258676	258676	transportes J. CARRION	A-04014635	ESA04014635	valid	ES	C/PABLO PICASSO, 1, 4230, HUERCAL DE ALMERIA
336195	258881	GEFCO Deutschland GmbH	DE811122082	DE811122082	valid	DE	Kurhessenstraße 13, 64546, Mörfelden-Walldorf
241914	241914	ERONTRANS SP. Z O. O.	PL5890011743	PL5890011743	valid	PL	Grunwaldzka 64b, PL 83-000, Pruszcz Gdanski
260712	245249	GEFCO ITALIA SPA		IT08983530158	discovered	IT	VIA PALIZZI 89, 20157, MILANO
257414	257414	Transportes Pascoal	PT0000000000	PT500514666	discovered	PT	Santa Luzia, 3050-106, Coimbra Norte
235114	235114	MÜLLER TRANSPORTE GmbH	ATU 194 32 905	ATU19432905	valid	AT	Palmersstrasse 10, 2351, WIENER NEUDORF
270235	233639	H. Essers Transport Company Nederland BV		NL002837110B01	discovered	NL	J.F. Kennedylaan 42, 5555 XD, Valkenswaard
336720	233891	ITF Polska Sp. z o.o.	PL1181733941	PL1181733941	valid	PL	Warszawska 109/6, 05-092, Lomianki
263360	263360	ABC Czepczynski Spolka z o.o. Sp.k.	PL5951442504	PL5951442504	valid	PL	Wigury 20, 64400, Międzychód
233811	Van Cargo	VAN CARGO S.A.	PL5242125771	PL5242125771	valid	PL	PRZECLAWSKA 8, 03-879, WARSAW
234810	234810	Schenker Sp z o.o.		PL5270103824	discovered	PL	Ordona 2a, 1237, Warszawa
244040	257567	Hellmann Worldwide Logistics Polska Sp.z o.o sp. k.	PL1230005823	PL1230005823	valid	PL	Sokołowska 10, 05-090, Raszyn
339773	234135	Vesta Ukraine		35322154	discovered	UA	Moscow p-t. 6, of 505, 4073, Kiev
342148	230858	DHL EXPRESS SP. Z O.O.	PL0000000000	PL5270022391	discovered	PL	OSMAŃSKA 2, 2823, WARSZAWA
234204	234204	TARGOR-TRUCK SP. Z O.O.	7582045405	PL7582045405	valid	PL	ŁAWY 97, 07-411, RZEKUŃ
308816	229745	Ekol Logistics	TR0000000000	TR3300012602	discovered	TR	Ekol Caddesi 2, Sultanbeyli, 34935, İstanbul
322241	230895	Tradecor s.r.l.	IT 00 160 120 266	IT00160120266	valid	IT	Via Lucia Frischin 1, 39100, Bolzano (BZ)
242116	242116	DHL Freight Belgium nv	BE0401264551	BE0401264551	valid	BE	Eppegemsesteenweg 31 - 33, 1850, Grimbergen
326071	326071	MANVESTA	LT582970113	LT582970113	valid	LT	P. Paulaicio str. 13B, 74111, Jurbarkas
260224	260224	CAMPILLO PALMERA SL	ESB73783003	ESB73783003	valid	ES	CTRA MADRID KM 373, P I LA SERRETA, 30500, MOLINA DE SEGURA - MURCIA
256443	238181	ATC CARGO SA		PL9581531010	discovered	PL	Polska 13A, 81-339, Gdynia
243850	243850	Bei-Trans		31526028	discovered	UA	Junakiva,9, Генерала Юнакива, 9, 79039, Lviv
265117	228860	DHL Global Forwarding (Italy) S.p.A. – Div. Freight		IT00754800159	discovered	IT	Via delle Industrie 1, 20060, Pozzuolo Martesana
233418	244443	Patinter España S.L	PT500212848	PT500212848	valid	ES	Poligono Ind. Okiturri, 1207, San Roman de San Roman
228639	228639	CODOGNOTTO ITALIA SPA	IT00474360310	IT00474360310	valid	IT	Via Calnuova 18/20., 31040, Salgareda
231501	231501	FIDEL SRL	IT04434190288	IT04434190288	valid	IT	UGO FOSCOLO,08, 35131, PADOVA
241753	241753	TORELLO TRASPORTI SRL	1897330641	IT1897330641	valid	IT	G.MARCONI, 251, 83025, MONTORO INFERIORE
225404	225404	Raben Transport	PL7810020506	PL7810020506	valid	PL	71 Poznanska, 62023, Gadki
229245	229245	AMBROGIO TRASPORTI SPA		IT00510420011	discovered	IT	tognasca 5, 21013, Gallarate
236111	236111	Transportes Broliveira, Lda	PT500425353	PT500425353	valid	PT	Estrada de Ourém nº15, Areias, 2490-124, Gondemaria (Ourém)
234562	234562	WITRANS Izak, Wenerski Sp. jawna		PL5291580400	discovered	PL	Plocka 2, 05-825, Grodzisk Mazowiecki
229275	229275	VILLART LOGISTIC S.L.	ESB25479726	ESB25479726	valid	ES	C/ BARCELONA, 25600, BALAGUER
293035	293035	Ibero Linhas - Transportes, Lda. (as agents for WEC LINES)	500361703	PT500361703	valid	PT	Urbanização da Matinha, Rua 2, Edificio Verde, 2º Esquerdo, 1950-073, Lisboa
237766	Lafante	Lafante Kamil Stańczak	PL5252341571	PL5252341571	valid	PL	Aleja Solidarności 66/89, 00-240, Warszawa
250619	222172	Van Steenbergen Transport Arendonk	BE0404199394	BE0404199394	valid	BE	Hoge Mauw 210, 2370, Arendonk
261972	261972	Gefco Tasimacilik ve Lojistik A.S.			missing	TR	Kayisdagi Cad. Karaman Ciftlik Yolu Kar, 34752, Icerenköy - Istanbul
200019	200019	Schenker Deutschland AG		DE811228366	discovered	DE	Feineisenstraße 4, 44339, Dortmund
253686	253686	Troyka International Transport & Trade Inc.	8590062681	TR8590062681	non_eu	TR	YENIBOSNA MER. MAH.BASIN EKSPRES YOLU CEMAL ULUSOY CD.SHT, 34730, ISTANBUL
221780	221780	Unterer GesmbH	AT0000000000	ATU32430107	discovered	AT	Luna 32, 6250, Kundl
246963	246963	NOLAN TRANSPORT	IE4571931W	IE4571931W	valid	IE	OAKLANDS, NEW ROSS, 51, CO WEXFORD
233377	233377	Magnus Logistics, UAB	LT10001806917	LT10001806917	valid	LT	Naugarduko str. 55A, 3204, Vilnius
234594	234594	Trans-Logistic Dębica	PL8722095735	PL8722095735	valid	PL	Fabryczna 12, 39-200, Debica
283841	283841	VISLINE Sp.zo.o	PL5862232082	PL5862232082	valid	PL	Siewna 7, 81-574, Gdynia
235220	235220	STALKO Przybysz i Wspólnicy Spółka Jawna	PL0000000000	PL1250022090	discovered	PL	PONIATOWSKIEGO, 05-220, ZIELONKA
235149	235149	BTG Feldberg & Sohn GmbH & Co. KG	DE 170014163	DE170014163	valid	DE	Wüppings Weide 1, 46395, Bocholt
247138	247138	Codognotto Austria GmbH		ATU64785511	discovered	AT	Lederergasse 35/12, 1080, Wien
244718	244718	TRANS ITALIA SRL	IT02032300655	IT02032300655	valid	IT	PIAZZA MARTINEZ ,05, 84085, MERCATO S.SEVERINO
251312	306763	Gefco United Kingdom	GB 272369149	GB272369149	valid	GB	376-378 Chiswick High Road, Chiswick,, W4 5TF, London
305901	305901	Transport Gapiński Sp. z o.o. Sp. k.	PL7661997146	PL7661997146	valid	PL	Skocka 20, 62-100, Wągrowiec
235502	235502	XPO LOGISTICS (NORBERT DENTRESSANGLE) HIGH CUBE	FR0000000000		placeholder	FR	Z.I.  Rue des Moines, 2203, SOISSONS
291017	291017	Borusan Lojistik			missing	TR	YALÇIN KOREŞ CAD. NO:22, 34303, İSTANBUL
238008	238008	J&S Speed Kft	HU 12939848	HU12939848	valid	HU	Agostyáni út 91., 2890, Tata
234090	234090	Euroafrica Shipping Lines Cyprus Limited	CY10109723K	CY10109723K	valid	CY	Arch.Makariou III,229, MELIZA COURT , 4th floor, 3105, Limassol , Cyprus
302996	302996	Geodis Logistics Netherlands B.V.		NL003871678B01	discovered	NL	Transportcentrum 24, 7547RX, Enschede
285150	285150	TRANSMEJA JSC	LT451301917	LT451301917	valid	LT	Metalistu str. 3, 78109, Siauliai
252367	252367	AGROLOGISTIKA	LT100001123912	LT100001123912	valid	LT	Tilžės g. 60T, 91108, Klaipėda
240173	240173	VLANTANA UAB		LT633770418	discovered	LT	Dvaro 1, Gobergiškės k., 96173, Klaipedos raj.
243440	243440	Hecny Express LLC	7715679440	RU7715679440	non_eu	RU	Prishvina, 8, build. 2, 127549, Moscow
306335	306335	Zammler Ukraine Ltd		35007717	discovered	UA	Hryhoriia Andriushchenka str.,  4-H (G), 1135, Kyiv
270154	270154	DHL Global Forwarding Sp. z o.o.	7280257292	PL7280257292	valid	PL	ul. Krakowiaków 44, 02-255, Warszawa
300793	266476	SIA GEFCO BALTIC	LV50003993021	LV50003993021	valid	LV	P. BRIEZA 15, 1010, Riga
260916	260916	Alba-Zöchling	HU0000000000	HU10268526	discovered	HU	Holland Fasor 9, 8000, Székesfehérvár
319704	McAndrPT	CMA CGM UK	GB802298146	GB802298146	valid	GB	Princes Parade, L3 1BG, liverpool
243478	243478	Fracht FWO Polska Sp. z o.o.	PL7542735115	PL7542735115	valid	PL	ul. Inflancka 4C, 00-189, Warszawa
306324	269824	GEFCO PORTUGAL TRANSITÁRIOS LDA		PT502719176	discovered	PT	Rua Dr.ºAntónio Loureiro Borges, Edifício Arquiparque I, 1º Piso, 1499 -016, Miraflores
231033	231033	GEFCO Magyarorszag Kft.		HU13632142	discovered	HU	Bocskai út 134-146, 1113, Budapest
303710	303710	WEC Lines		NL007138015B01	discovered	NL	Albert Plesmanweg 59, 3088 GB, Rotterdam
230849	230849	Waberer's Polska Sp. z o.o.	PL7772306116	PL7772306116	valid	PL	Kijowska 1, 03-738, Warszawa
294768	294768	LOGİTRANS LOJISTİK VE TAŞIMACILIK ORG.LTD.ŞTİ			missing	TR	ORHANLI MAH. DERVIS CADDESI NO:24 FLOOR:1 OFFICE:4A-B, TUZLA-İSTANBUL, 34000, İSTANBUL
242853	242853	A.M.P. Wieczorek Sp. z o.o.		PL8222212882	discovered	PL	Mazowiecka, 79, 05-311, Dębe Wielkie
241368	241368	SPEDPARTNER		PL6621768189	discovered	PL	Leszcze 15, 28-400, PINCZOW
304435	309209	Bollore Logistics UK Ltd.	GB 432 3813 73	GB432381373	valid	GB	Unit 1 Skyline, Great South West Road, TW14 8NT, London Heathrow
280887	280887	Stellar-Logistic	36591814	UA36591814	non_eu	UA	48 Degtyarivs`ka Str., 4112, Kyiv
308952	308952	ID LOGISTICS POLSKA S.A.	5252425204	PL5252425204	valid	PL	Al. Roździeńskiego 91, 40-203, Katowice
229071	229071	GONDRAND		FR91602002461	discovered	FR	13 RUE CURIE, BP 71339, 68013, COLMAR CEDEX
247108	247108	Croome LTD			missing	GB	Cullet Drive, ME11 5JS, Queenborough, Kent
268421	268421	Yusen Logistics UK Ltd		GB593411144	discovered	GB	Grange Park 3, Cheaney Road, NN4 5FB, Northampton
268784	228639	Codognotto Polska Sp. Z.o.o.	PL7251959614	PL7251959614	valid	PL	Kościuszki 80/82, 90-437, Lodz
270644	270644	smet srl	IT00316190651	IT00316190651	valid	IT	via tiberio claudio felice 48, 84131, salerno
258486	262215	DHL FREIGHT SPAIN SL		ESB83716563	discovered	ES	C/ Rumania, 4, Poligono Industrial de Coslada (PAL), 28221, Madrid
251083	251083	Okura Uluslararası Tasımacılık Iletisim Tic. ve San. A.Ş	6400108811	TR6400108811	non_eu	TR	Talatpaşa Cad., Menekşe sokak no:15/1, 34590, Istanbul
246337	246337	Friday Spółka z ograniczoną odpowiedzialnością  Spółka komandytowa	PL0000000000	PL5222993085	discovered	PL	ul. Ryżowa 33A, 02-495, Warszawa
306978	306978	PCC Intermodal	PL7491968481	PL7491968481	valid	PL	ul. Hutnicza 16, 81-061, Gdynia
286095	286095	Borchard Lines Ltd		GB243408284	discovered	GB	10 Chiswell Street, EC1Y4XY, London
337986	279394	Transcurbel-2 S.A.	A58869470	ESA58869470	valid	ES	Ronda Guinardó, nº 52, 8025, Barcelona
251488	251488	ARBA SP. Z O.O.	PL7611452717	PL7611452717	valid	PL	SIERAKOWO 55, 06-300, PRZASNYSZ
260906	260906	Marcotran Polska Sp. z o.o.	9691579265	PL9691579265	valid	PL	ul. Poznańska 9, 44-120, Pyskowice
243238	243238	F.lli Dissegna Srl	IT01838650248	IT01838650248	valid	IT	Via Ca' Vico 29, 36028, Rossano Veneto VI
266476	266476	GEFCO Ukraine	UA358940826599	UA358940826599	non_eu	UA	110, Zhylyanska, 1032, Kyiv
240088	263570	Luis Simoes Logistica Integrada,s.a.		ESA79502357	discovered	ES	Parque Empresarial San Fernando, Av. de Castilla, 28830, San Fernando de Henares, Madrid
337193	241668	DHL Global Forwarding  Hellas S.A.			missing	GR	41, Agiou Dimitriou str., 18546, Pireaus
273352	273352	Scantek LTD Sp. z o. o.	PL1080005217	PL1080005217	valid	PL	Braniborska 38/40, 53-680, Wrocław
261289	261289	Charter Sp. z .o.o.	812-17-66-337	PL8121766337	valid	PL	Urszulin 8, 05-825, Grodzisk Mazowiecki
258750	258750	MGT Transport Krajowy i Międzynarodowy Grycz Mariusz	7621904664	PL7621904664	valid	PL	Monte Cassino 3, 07-200, Wyszków
258627	258627	Europejskie Centrum Logistyczne Sp. z o.o.		PL5170355762	discovered	PL	Ul. Przemysłowa 13B, 35-105, Rzeszów
258650	227422	NORBERT DENTRESSANGLE LOGISTICS POLAND		PL9820243290	discovered	PL	SZYSZKOWA 35/37, 02-285, WARSZAWA
258985	258985	NTG Road Sp.zo.o.	5272674838	PL5272674838	valid	PL	Chełmżyńska 180, NTG Marki, Katowice, Gdynia, Goleniow, 04-464, Warszawa
300245	300245	LOCKWOOD HAULAGE LTD.		GB117334490	discovered	GB	RIPLEY ROAD, DE56 2JR, AMBERGATE
262830	262830	LOTOS BALTICA	LT0000000000	LT100002817211	discovered	LT	Pramones str. 2, 17102, Sacininkai
339552	237202	GEFCO (Suisse) SA		CHE105880361MWST	discovered	CH	6 Route des Jeunes, Case postale 1767, 1211, GENEVE
262730	262730	The Overland Transport & Trading Co Ltd	UK0000000000	GB128303003	discovered	GB	High Street, Billinghay, LN4 4BU, Lincoln
272106	272106	AEROTRANS PIOTR CYRSON		PL5311413267	discovered	PL	WRZOSOWA 12, 5101, NOWY DWÓR MAZOWIECKI
283525	231183	C.H.ROBINSON PL-Warsaw 2	NL	NL	valid	PL	Aleja Jana Pawła II 29, 00-867, Warszawa
230638	230638	Simple Way Sp z o.o sp.k		PL5951455352	discovered	PL	Wigury 20, 64-400, Miedzychod
260208	260208	TRANSINTERTOP LTD	HU11475165	HU11475165	valid	HU	TOPART 1, 2851, KÖRNYE
334308	242108	XPO LOGISTICS_ Transport Solution FTL PACKED France		FR37386220123	discovered	FR	1208, ROUTE DES PIERRELLES - BP 93 - BEAUSEMBLANT, 26240, BEAUSEMBLANT
272915	272915	Hart Logistics sp. z o. o. sp. k.	7792413387	PL7792413387	valid	PL	Świerzawska 10, 60-321, Poznań
244904	244904	GEFCO France		FR83542050315	discovered	FR	Rue des Lilas d Espagne, 92402, Courbevoie Cedex
262232	262232	Geis PL Sp. z o.o.		PL5261025183	discovered	PL	Pieńki 7, 95-010, Stryków
368458	351923	Locotranssped Sp. Z O.O.	7831682017	PL7831682017	valid	PL	Ul.Arcybiskupa A. Baraniaka 88c Bud.B, 61-131, Poznan
265297	265297	Express Logistic Sp.z o.o.	PL1231277587	PL1231277587	valid	PL	Dunikowskiego 24, 5501, Piaseczno
273747	273747	Aro-Trans Rafał Bartosz Kosztowny Spedycja i Produkcja Mebli		PL9532383064	discovered	PL	Ogrody 29/32, 85-870, Bydgoszcz
269078	269078	C&T, a.s.	2022259723	SK2022259723	valid	SK	Partizanska cesta 2733/97, 97401, Banska Bystrica
292757	292757	KLog Logística SA	PT0000000000	PT510338879	discovered	PT	Rua de Castelões Centro, 260 - Fajozes, 4485-065, Vila do Conde
236276	236276	FIRMA TRANSPORTOWO-HANDLOWA EDWARD OSICA	PL8221005023	PL8221005023	valid	PL	ZACHODNIA 34, 05-300, MIŃSK MAZOWIECKI
234132	234132	CMA CGM Polska Sp. z o.o.	GB802298146	GB802298146	valid	PL	Polska 13 A, 81-339, Gdynia
276509	276509	Sokołów-Logistyka	PL0000000000	PL8231060414	discovered	PL	Aleja 550-lecia 2, 08-300, Sokołów Podlaski
275463	275463	NOSTA Logistik Sp. z.o.o.	5981632563	PL5981632563	valid	PL	Hynka 32, 80-465, Gdańsk
500975	PandOHU	P&O Ferrymasters Ltd.	NL809172811B01	NL809172811B01	valid	NL	PO Box 1036, 3180 AA, Rozenburg
264024	264024	Orange Logistics Sp. z o.o.	PL6342773808	PL6342773808	valid	PL	Roździeńskiego 205, 40-203, Katowice
287378	287378	Rosteka UAB	LT100004761617	LT100004761617	valid	LT	Darbo str 9, 52102, Kaunas
335085	291662	Ekol Spain		ESB66160052	discovered	ES	Pol. Ind. Modula – Coslada II Avda de la Cañada, 62 Nave 1 Modulo, 28820, Madrid
293151	280653	PORTMANN LOGISTICS POLSKA SP. Z.O.O	PL 7811775773	PL7811775773	valid	PL	DERENIOWA 2 LOK 7, 02-776, WARSZAWA
257579	257579	Rail Cargo Logistics - Poland Sp. z o.o.		PL6292204786	discovered	PL	Wąwozowa 11, 02-796, Warszawa
260701	260701	VGL Road Sp. z o.o.		PL5862253658	discovered	PL	Al. Zwycięstwa 237/7, 81-521, Gdynia
227584	227584	GEFCO Deutschland GmbH	DE811122082	DE811122082	valid	DE	Industriestr. 80, 42327, Wuppertal
254299	254299	GEFCO Deutschland GmbH	DE811122082	DE811122082	valid	DE	Märkische Allee 65, 14979, Großbeeren
281136	281136	BRAXSTONE KRAWCZYK, RENE SP. JAWNA	PL1182095709	PL1182095709	valid	PL	KOLEJOWA 204A, KIEŁPIN, 05-092, ŁOMIANKI
272701	272701	F.H.P. MAG-MAR ALICJA MATUSIK	PL8240000989	PL8240000989	valid	PL	ALEJA SOLIDARNOŚCI 3, 07-100, WĘGRÓW
332116	332116	Antrans Bis Ireneusz Pacia Sp. k.	6372190299	PL6372190299	valid	PL	Wspólna 1c, 32-300, Olkusz
261803	261803	DEVEGA SRL	RO26244980	RO26244980	valid	RO	4, BERZEI, 410151, ORADEA
227422	227422	ND Polska Sp. z o.o.	PL725-00-13-591	PL7250013591	valid	PL	Wólczańska 53, 90-608, Łódź
321388	321388	Frigo-trans	8252102129   8250004747	82521021298250004747	wrong_format	PL	Miedzyrzecka186, 21-400, Łuków
334679	293623	Ekol Logistics Sp. z o.o.	972-125-38-94	PL9721253894	valid	PL	Inwestycyjna 8, 41-208, Sosnowiec
286782	286782	Speedbergx Sp. z o.o. Spółka komandytowa	7732475775	PL7732475775	valid	PL	P.O.W. 17/216, 97-200, Tomaszów Mazowiecki
284914	284914	ATL EUROPE s.r.o.	CZ25925865	CZ25925865	valid	CZ	Hořická 283/22, 500 02, Hradec Králové
287492	287492	BOMAR SP. Z O.O.	PL5342491222	PL5342491222	valid	PL	UL.WINCENTEGO WITOSA 19, SIEDLIN, 09-100, PŁOŃSK
320606	241666	DHL Global Forwarding		RO31169876	discovered	RO	Costache Negri, 50552, Bucuresti
374769	374769	BARSAN Global Logistics		PL6792888463	discovered	PL	Wita Stwosza 7/427, 40-040, Katowice
281425	281425	Grupa Transportowa Sp. z o.o.		PL7712852200	discovered	PL	Łódzka 30 ab, 97-300, Piotrków Trybunalski
325764	272532	DHL GLOBAL FORWARDING TASIMACILIK A.S.	TR0000000000	TR2950430412	discovered	TR	KIBRIS SEHITLERI CAD., no 135/5, 35221, IZMIR
323836	270376	Uniserve Ltd		GB927553502	discovered	GB	Thurrock Park Way, RM187HD, Tilbury
321472	243850	BEI-TRANS POLSKA Sp. z.o.o	5252549320	PL5252549320	valid	PL	ul.Aleja Solidanosci 117 nr loc207, 00-140, Warszawa
298847	298847	Range-Trans OU	EE202200221063094214	EE202200221063094214	valid	EE	Mustamae tee 5-703, Harju maakond, 10616, Tallinn
302185	302185	Cargo Line/ГК Карго Лайн		BY390170432	discovered	BY	Витебский р-н, М-8, 89-й км, 1А, 211319, Vitebskaya oblast/Витебская область
262215	262215	DHL FREIGHT SPAIN, S.L		ESB83716563	discovered	ES	AVDA. DE ESPIOCA, 64, 46460, VALENCIA
260692	260692	JASTIM Sp z o.o.	5262499368	PL5262499368	valid	PL	Al. Jerozlimskie 144, 02-305, Warszawa
296223	296223	AKTRANS TASIMACILIK TİC.SAN.LTD.STİ	420165084	TR420165084	non_eu	TR	ATATÜRK CAD.SIDALI İŞHANI  KAT:3/9, 33070, mersin
288977	288977	BFI SP. Z O.O. SP.K.	5862323399	PL5862323399	valid	PL	Aleja Zwycięstwa 173, 81-521, Gdynia
