Carrier	VAT
LKW Walter International AG	ATU19208701
dls Land u. See Speditionsges. mbH	DE811252507
T.E.L.S. Transeuropean Logistic Services Ltd. (TELS)	GB4303303
AGROMEX Wojciech i Jacek Fraszka sp. j.	PL8310003586
2XL Nv	BE449424358
MIRATRANS TRANSPORT SP. Z O.O.	PL7322182068
Link Sp. z o.o.	PL5210086737
ROHLIG SUUS Logistics S.A.	PL1230993241
Pekaes Sp z. o.o.	PL5270104717
IMPERIAL Logistics & Services GmbH	DE811168499
ARCESE TRASPORTI S.P.A.	IT122680226
ECS European Containers NV	BE0435131508
Waberer's International Zrt.	HU17781578
SKAT TRANSPORT SP. Z O.O. SP. K.	PL5851356886
P.H.U.S EXPORT-IMPORT "TRANSPIL-SPEDITION"	PL7670003116
MAGTRANS Sp. z o. o.	PL6551430917
CH Robinson FR-Caen	FR43322939265
REGESTA S.A.	PL6621004747
Gopet Trans EOOD	BG831689341
Raben Trans European Germany GmbH	DE200207156
FIRMA TRANSPORTOWO SPEDYCYJNO HANDLOWA MIELCZAREK ANDRZEJ	PL8290001407
DELAMODE ROMANIA	RO6322498
CAT LC Portugal	PT506906612
CONEXTRANS  I.F.F.  S.A.  (A.G.)	EL095349047
Transport H. Essers & Zonen Nv	BE0401296720
Gartner Intertrans Hungária Kft.	HU10457812
DARTOM SP. Z O.O.	PL8380000966
HEMMERLIN SA	FR11399514611
FM Polska Sp. z o. o.	PL8381000827
Girteka Logistics Ltd	LT100005407518
CONTAINERSHIPS PLC	FI08183585
EST Contracts BV - Budapest branch	NL811514274
EST Poland sp. z o.o. - branch 1	NL811514274B01
A. T. TROTA, S.A.	ESA25038142
Luís Simões Logística Integrada, S.A.	PT500289050
transportes J. CARRION	ESA04014635
GEFCO Deutschland GmbH	DE811122082
ERONTRANS SP. Z O. O.	PL5890011743
MÜLLER TRANSPORTE GmbH	ATU19432905
ITF Polska Sp. z o.o.	PL1181733941
ABC Czepczynski Spolka z o.o. Sp.k.	PL5951442504
VAN CARGO S.A.	PL5242125771
Hellmann Worldwide Logistics Polska Sp.z o.o sp. k.	PL1230005823
TARGOR-TRUCK SP. Z O.O.	PL7582045405
Tradecor s.r.l.	IT00160120266
DHL Freight Belgium nv	BE0401264551
MANVESTA	LT582970113
CAMPILLO PALMERA SL	ESB73783003
Patinter España S.L	PT500212848
CODOGNOTTO ITALIA SPA	IT00474360310
FIDEL SRL	IT04434190288
TORELLO TRASPORTI SRL	IT1897330641
Raben Transport	PL7810020506
Transportes Broliveira, Lda	PT500425353
VILLART LOGISTIC S.L.	ESB25479726
Ibero Linhas - Transportes, Lda. (as agents for WEC LINES)	PT500361703
Lafante Kamil Stańczak	PL5252341571
Van Steenbergen Transport Arendonk	BE0404199394
NOLAN TRANSPORT	IE4571931W
Magnus Logistics, UAB	LT10001806917
Trans-Logistic Dębica	PL8722095735
VISLINE Sp.zo.o	PL5862232082
BTG Feldberg & Sohn GmbH & Co. KG	DE170014163
TRANS ITALIA SRL	IT02032300655
Gefco United Kingdom	GB272369149
Transport Gapiński Sp. z o.o. Sp. k.	PL7661997146
J&S Speed Kft	HU12939848
Euroafrica Shipping Lines Cyprus Limited	CY10109723K
TRANSMEJA JSC	LT451301917
AGROLOGISTIKA	LT100001123912
DHL Global Forwarding Sp. z o.o.	PL7280257292
SIA GEFCO BALTIC	LV50003993021
CMA CGM UK	GB802298146
Fracht FWO Polska Sp. z o.o.	PL7542735115
Waberer's Polska Sp. z o.o.	PL7772306116
Bollore Logistics UK Ltd.	GB432381373
ID LOGISTICS POLSKA S.A.	PL5252425204
Codognotto Polska Sp. Z.o.o.	PL7251959614
smet srl	IT00316190651
PCC Intermodal	PL7491968481
Transcurbel-2 S.A.	ESA58869470
ARBA SP. Z O.O.	PL7611452717
Marcotran Polska Sp. z o.o.	PL9691579265
F.lli Dissegna Srl	IT01838650248
Scantek LTD Sp. z o. o.	PL1080005217
Charter Sp. z .o.o.	PL8121766337
MGT Transport Krajowy i Międzynarodowy Grycz Mariusz	PL7621904664
NTG Road Sp.zo.o.	PL5272674838
C.H.ROBINSON PL-Warsaw 2	NL
TRANSINTERTOP LTD	HU11475165
Hart Logistics sp. z o. o. sp. k.	PL7792413387
Locotranssped Sp. Z O.O.	PL7831682017
Express Logistic Sp.z o.o.	PL1231277587
C&T, a.s.	SK2022259723
FIRMA TRANSPORTOWO-HANDLOWA EDWARD OSICA	PL8221005023
CMA CGM Polska Sp. z o.o.	GB802298146
NOSTA Logistik Sp. z.o.o.	PL5981632563
P&O Ferrymasters Ltd.	NL809172811B01
Orange Logistics Sp. z o.o.	PL6342773808
Rosteka UAB	LT100004761617
PORTMANN LOGISTICS POLSKA SP. Z.O.O	PL7811775773
GEFCO Deutschland GmbH	DE811122082
GEFCO Deutschland GmbH	DE811122082
BRAXSTONE KRAWCZYK, RENE SP. JAWNA	PL1182095709
F.H.P. MAG-MAR ALICJA MATUSIK	PL8240000989
Antrans Bis Ireneusz Pacia Sp. k.	PL6372190299
DEVEGA SRL	RO26244980
ND Polska Sp. z o.o.	PL7250013591
Frigo-trans	82521021298250004747
Ekol Logistics Sp. z o.o.	PL9721253894
Speedbergx Sp. z o.o. Spółka komandytowa	PL7732475775
ATL EUROPE s.r.o.	CZ25925865
BOMAR SP. Z O.O.	PL5342491222
BEI-TRANS POLSKA Sp. z.o.o	PL5252549320
Range-Trans OU	EE202200221063094214
JASTIM Sp z o.o.	PL5262499368
BFI SP. Z O.O. SP.K.	PL5862323399
ECS European Containers NV	BE0435131508
MacAndrews & Co Ltd	GB802298146
ZAMMLER Polska Sp. z o.o.	PL5252582464
Linktis sp. z o.o.	PL9512373803
ALCOR LOGISTICS Sp. z o.o.	PL5291820117
