Reckitt to check	TRANSPOREON ID	Ticontract ID	Name	CreditorNumber_BillingDetail	VAT	CountryId	Street_1	Street_2	Zip	Location	CarrierStatus
	284914	223429	ATL EUROPE s.r.o.	284914	CZ25925865	CZ	Hořická 283/22	NULL	500 02	Hradec Králové	active
	287492	223856	BOMAR SP. Z O.O.	287492	PL5342491222	PL	UL.WINCENTEGO WITOSA 19	SIEDLIN	09-100	PŁOŃSK	active
	320606	224921	DHL Global Forwarding	241666	NULL	RO	Costache Negri	NULL	50552	Bucuresti	disabled
VAT Nr missing	374769	227627	BARSAN Global Logistics	374769	NULL	PL	Wita Stwosza 7/427	NULL	40-040	Katowice	active
VAT Nr missing	281425	229078	Grupa Transportowa Sp. z o.o.	281425	NULL	PL	Łódzka 30 ab	NULL	97-300	Piotrków Trybunalski	active
	325764	231042	DHL GLOBAL FORWARDING TASIMACILIK A.S.	272532	TR0000000000	TR	KIBRIS SEHITLERI CAD.	no 135/5	35221	IZMIR	disabled
VAT Nr missing	323836	234343	Uniserve Ltd	270376	NULL	GB	Thurrock Park Way	NULL	RM187HD	Tilbury	active
	321472	234553	BEI-TRANS POLSKA Sp. z.o.o	243850	5252549320	PL	ul.Aleja Solidanosci 117 nr loc207	NULL	00-140	Warszawa	disabled
	298847	234916	Range-Trans OU	298847	EE202200221063094214	EE	Mustamae tee 5-703	Harju maakond	10616	Tallinn	disabled
	302185	238192	Cargo Line/ГК Карго Лайн	302185	NULL	BY	Витебский р-н, М-8, 89-й км, 1А	NULL	211319	Vitebskaya oblast/Витебская область	active
VAT Nr missing	262215	239724	DHL FREIGHT SPAIN, S.L	262215	NULL	ES	AVDA. DE ESPIOCA, 64	NULL	46460	VALENCIA	active
VAT Nr wrong	260692	241438	JASTIM Sp z o.o.	260692	5262499368	PL	Al. Jerozlimskie 144	NULL	02-305	Warszawa	active
	296223	241887	AKTRANS TASIMACILIK TİC.SAN.LTD.STİ	296223	420165084	TR	ATATÜRK CAD.SIDALI İŞHANI  KAT:3/9	NULL	33070	mersin	active
	288977	242005	BFI SP. Z O.O. SP.K.	288977	5862323399	PL	Aleja Zwycięstwa 173	NULL	81-521	Gdynia	active
VAT Nr missing	313765	242292	Arsenal Logistic Sp. z o.o.	313765	NULL	PL	Alley Jerozolimskie 85	NULL	02-001	Warsaw	active
VAT Nr missing	300152	242469	FERTRANS SPAGNA SL	300152	NULL	ES	Av. Ports D'Europa, 100	NULL	8040	Barcelona	active
	230460	245648	ECS European Containers NV	230460	BE0435131508	BE	Karveelstraat 3	NULL	8380	Zeebrugge	active
	251427	246198	MacAndrews & Co Ltd	McAndrPT	GB802298146	GB	12 Princes Parade	Princes Dock	L3 1BG	Liverpool	disabled
VAT Nr missing	318021	248781	BARSAN GLOBAL LOGISTIC KFT	343065	NULL	HU	ARADI VERTANUK UTJA 13 FST 5	NULL	9021	GYOR	active
VAT Nr missing	282622	249488	TBX SP. Z O.O.	282622	NULL	PL	Szyszkowa 35/37	NULL	02-285	Warszawa	active
VAT Nr missing	280700	250392	NAPOLITRANS SRL	280700	NULL	IT	Loc. Pezzagrande	NULL	84025	EBOLI	active
	290599	253166	ZAMMLER Polska Sp. z o.o.	290599	PL 5252582464	PL	3 Maja Nr. 8	Millenium Logistic Park, building C7	05-800	PRUSZKOW	active
VAT Nr missing	305312	254132	DHL FREIGHT	351041	NULL	FR	28 rue Eugène Hénaff	NULL	69200	Vénissieux	active
VAT Nr missing	236381	358523	P.U.T.H. TRANS-POL SP.JAWNA S. KLASZTORNY, Z.DĄBROWSKI	236381	NULL	PL	ul. Kozietulskiego 4a	NULL	96-100	Skierniewice	active
VAT Nr missing	286632	364460	FM LOGISTIC IBERICA, S.L.	286632	NULL	ES	C/ BERRIOBIDE, 34	NULL	31013	ANSOAIN	active
	327392	365661	Linktis sp. z o.o.	327392	PL9512373803	PL	Stępińska 22/30	NULL	00-739	warszawa	active
VAT Nr missing	308710	366654	VIRADO TRANSPORT LTD	308710	NULL	GB	Lankaster Approach, North Killingholme Industrial Estate	NULL	DN40 3JZ	Immingham	active
	328811	367347	MAERSK LINE	364586	NULL	DK	Esplanaden 50	NULL	DK1263	Copenhagen	disabled
	334648	368635	BATUINTERNATİONAL LOJİSTİK İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ	334648	150 057 6603 – Atışalanı VD	TR	Oruçreis Mh. Tekstilkent Cd.	No:12/A İç Kapı No: 022-023 Atışalanı/Esenler	34235	İstanbul	active
VAT Nr missing	312643	368906	Overis Sp.z,o.o.	312643	NULL	PL	Łapiguz 91	NULL	21-400	Łuków	active
	311846	368993	YILMAZ ULUSLARARASI NAKLİYAT İTH. İHR. SAN. VE TİC. LTD. ŞTİ	311846	NULL	TR	İstiklal Cad.	5204 sok	33060	Mersin	disabled
	313261	370532	ALCOR LOGISTICS Sp. z o.o.	313261	PL5291820117	PL	T. Bairda 36/60	36/60	05-825	Grodzisk Mazowiecki	active
	343126	377692	EVEROAD	343126	NULL	FR	24 rue Petrelle	NULL	75002	Paris	disabled
	348059	379897	SARP INTERMODAL	348059	NULL	TR	DEREBOYU NO 56	TURKOBA MAH.KAYALAR CAD. NO.10/1	34356	ISTANBUL	active
	346723	380690	EXPEDITORS INTERNATIONAL UK LTD	286269	NULL	GB	UNIT 4	SHINE KNOWLEDGE PARK	HU8 7FB	HULL	disabled
VAT Nr missing	305812	381067	GEFCO Greece	305812	NULL	GR	Lampsakou 2	NULL	11528	Athens	active
	351096	383657	H.Essers & Zonen Internationaal Transport NV (Pharma)	351016	BE 0401 296 720	BE	Transportlaan 4	NULL	3600	Genk	disabled
VAT Nr wrong	352386	391771	Hopi PL sp z o.o.	352386	5272681413	PL	Przyokopowa 33	NULL	01-208	Warszawa	active
	354554	393256	ATOM ULUSLARARASI NAKLİYAT VE LOJİSTİK HİZMETLERİ TİC.A.S.	354554	NULL	TR	1476/1 SOKAK KATİPOGLU İS MERKEZİ NO:2 K:2 D:2 ALSANCAK	NULL	35220	İZMİR	active
VAT Nr missing	362880	397995	F.H.U Łuczkowski	362880	NULL	PL	Kościelna 5	NULL	34-400	Nowy Targ	active
	357479	399120	Marvicon SRL	357479	RO34957399	RO	Strada Ogorului 258, Et. 2	NULL	410554	Oradea	active
VAT Nr missing	365199	399207	Containerships - CMA CGM GmbH	239770	NULL	DE	Chilehaus A, Fischertwiete 2	NULL	20095	Hamburg	active
VAT Nr missing	365019	399577	RANGE-TRANS SPOLKA Z OGRANICZANA ODPOWIEDZIALNOSCIA	365019	NULL	PL	Matki Teresy z Kalkuty 18, lok.8	NULL	20-538	Lublin	active
	366132	399694	Uber Freight B.V.	366132	NULL	NL	Mr.Treublaan 7	NULL	1097 DP	Amsterdam	disabled
VAT Nr missing	366806	400038	TRANSPIL-SPEDITION LOGISTICS GROUP SP. Z O.O. SP. KOMANDYTOWA	366806	NULL	PL	Brzozowa 2	NULL	64-917	Skorka	active
	374048	403917	GT-Trans Faktoring Sp. z o.o.	374048	PL5223051994	PL	85 Al. Jerozolimskie, Unit 21	NULL	02-001	Warsaw	active
	375326	404643	Blackbuck Poland Sp. Z o.o.	375326	PL7010943304	PL	Mokotowska 49	NULL	00-542	Warszawa	active
	377350	405714	Range Trans Group OÜ	383302	EE 102138294	EE	Pärnu mnt 76-7,	Harju maakond,  Kesklinna linnaosa,	10131	Tallinn	disabled
VAT Nr missing	379056	411812	Luk-Trans Łukasz Bloch	379056	NULL	PL	26A	BLOCHY	07-210	Długosiodło	active
VAT Nr wrong	387692	412158	KRAFTTRANS Taurus Sp. z o.o.	387692	5213880950	PL	ul. BARTYCKA, nr 22B	lok. 21A	00-716	WARSZAWA	active
VAT Nr missing	391494	412813	DHL Parcel (Switzerland) AG	221832	NULL	CH	Güterstrasse 107	NULL	4133	Pratteln	active
VAT Nr missing	302920	415932	F&O Agnieszka Osica-Foltyn	302920	NULL	PL	F&O Agnieszka Osica-Foltyn	NULL	05-300	Mińsk Mazowiecki	active
VAT Nr missing	400030	417893	DBK LOGISTICS SP. Z O.O. SP.K.	400030	NULL	PL	Zajęcza 15	NULL	00-351	Warszawa	active
VAT Nr missing	400421	417957	Broekman Logistics Sp. z o.o.	268459	NULL	PL	Piekary 6/8	NULL	61-823	Poznań	active
VAT Nr missing	400691	418105	sennder Benelux B.V._TC	366132	NULL	NL	Keizersgracht 62-64	NULL	1015 CS	Amsterdam	active
	399723	418106	LOPEZ & RYDER LOGISTIC S.L.U.	399723	ESB01729920	ES	Miquel Roca i Junyent nº7	local 212	50011	Zaragoza	active
	313610	421151	SA TORELLO TRASPORTI SRL	313610	NULL	FR	5 RUE DE MALACOMBE	BP 54	38070	LYON	active
VAT Nr missing	412708	424787	FM Logistic - Crépy-en-Valois (FR60)	412708	NULL	FR	rue du Bois de Tillet	BP60224	60802	Crépy-en-Valois	active
VAT Nr missing	413540	428125	Quality Trans Sp.z o.o.	413540	NULL	PL	Tadeusza Kościuszki 38/24	NULL	40-048	Katowice	active
VAT Nr missing	423233	435336	GRAMIX Sp. z .o.o.	423233	PL1182153482	PL	Komorów	NULL	05-085	Kampinos	active
	434944	435479	TSL Wiolmar Marcin Osiński	434944	PL5311529716	PL	Broninek 4	NULL	05-190	Nasielsk	active
VAT Nr missing	441173	438550	UAB Girteka Europe West	441173	NULL	LT	Laisvės pr. 36	NULL	4340	Vilnius	active
	442297	438603	Ellerman City Liners	442297	GB398523059	GB	133 Hall Lane	NULL	RM141AL	Upminster	active
VAT Nr missing	460334	445327	SAFE SHIPPING SP. Z O.O.	460334	NULL	PL	JANUSZA KORCZAKA 13	NULL	81-473	GDYNIA	active
	601754	445942	AKBULUT NAK TUR LTD ŞTİ	428936	NULL	TR	içerenköy mah prof dr necmettin erbakan cad no 83 K:2 D:7	NULL	34752	İSTANBUL	active
VAT Nr missing	459342	452207	Damco Germany GmbH	459342	NULL	DE	Katharinenstraße 5	NULL	20457	Hamburg	active
VAT Nr missing	226386	496024	Unifeeder Germany	226386	NULL	DE	Neuer Dovenhof, Brandstwiete 1	NULL	20457	Hamburg	active
